Permeability (md),Porosity (fraction),Rock Type
122.8,0.1184,Sandstone
132.9,0.08474,Sandstone
87.46,0.09779,Carbonate
85.63,0.1075,Carbonate
60.34,0.1024,Carbonate
102.5,0.1073,Sandstone
137.2,0.09428,Sandstone
93.63,0.09823,Sandstone
82.61,0.08983,Carbonate
95.54,,Sandstone
51.71,0.086,Carbonate
85.98,0.1158,Sandstone
78.04,0.1031,Carbonate
86.91,0.08752,Carbonate
74.72,0.08637,Carbonate
87.21,0.07685,
75.71,0.08261,
120.3,0.1148,Sandstone
97.26,0.09056,Sandstone
73.34,0.09524,Carbonate
125.5,0.1053,
95.55,0.1137,
82.61,0.0806,Carbonate
54.34,0.09752,Carbonate
64.55,0.1134,Carbonate
54.66,0.1243,Carbonate
96.42,0.1049,Sandstone
59.2,0.07721,Carbonate
82.69,0.1122,Sandstone
97.4,0.1172,Sandstone
60.11,0.1044,Carbonate
71.8,0.08139,Carbonate
58.79,0.1066,Carbonate
81.37,0.09831,Carbonate
123.6,0.09009,Sandstone
58.79,0.09783,Carbonate
114.2,0.1071,Sandstone
90.43,0.1007,Sandstone
79.19,0.09172,Carbonate
104.1,0.09168,Sandstone
87.91,0.1291,Carbonate
120.2,0.1065,Sandstone
143.7,0.1286,Sandstone
83.19,0.09934,Carbonate
73.81,0.1102,Carbonate
86.49,0.1078,Carbonate
76.95,0.09723,Carbonate
121.1,0.09874,Sandstone
94.25,0.09444,Sandstone
122,0.09029,Sandstone
79.78,0.08772,Carbonate
95.77,0.1132,Carbonate
94.57,0.08974,Carbonate
100.2,0.092,Sandstone
84.74,0.07355,Carbonate
86.6,0.1022,Carbonate
100.3,0.1039,Sandstone
77.79,0.1045,Carbonate
62.11,0.1024,Carbonate
74.34,0.08983,Carbonate
94.48,0.09752,Sandstone
88.05,0.09488,Sandstone
43.79,0.117,Carbonate
77.22,0.08013,Carbonate
63.95,0.1005,Carbonate
67.41,0.09989,Carbonate
87.21,0.1398,Sandstone
75.17,0.1142,Carbonate
79.01,0.08477,Carbonate
152.8,0.1326,Sandstone
72.48,0.08759,Carbonate
62.5,0.1037,Carbonate
82.15,0.09933,Carbonate
97.83,0.07837,Carbonate
68.64,0.1122,Carbonate
55.84,0.115,Carbonate
76.53,0.09768,Carbonate
58.74,0.09462,Carbonate
98.64,0.1162,Sandstone
114.2,0.08402,Sandstone
73.34,0.09373,Carbonate
121.4,0.1054,Sandstone
166.2,0.1447,Sandstone
94.28,0.1101,Carbonate
86.1,0.07115,Carbonate
88.44,0.08785,Carbonate
87.76,0.09258,Sandstone
123.4,0.08217,Sandstone
99.58,0.115,Carbonate
130.4,0.1015,Sandstone
79.08,0.1066,Carbonate
101.7,0.1092,Sandstone
106.2,0.1008,Sandstone
102,0.09462,Carbonate
120.2,0.0943,Sandstone
81.72,0.09055,Sandstone
74.72,0.1051,Carbonate
73.06,0.09639,Carbonate
96.85,0.1167,Sandstone
73,0.1164,Carbonate
61.24,0.0925,Carbonate
105.1,0.09721,Sandstone
73.66,0.1092,Carbonate
83.74,0.08677,Carbonate
68.26,0.07793,Carbonate
78.11,0.1152,Carbonate
78.99,0.1091,Sandstone
97.84,0.08138,Carbonate
93.97,0.0997,Carbonate
88.12,0.07944,Carbonate
83.51,0.1135,Carbonate
53.27,0.09405,Carbonate
63.78,0.1072,Carbonate
70.87,0.09754,Carbonate
85.31,0.09384,Carbonate
78.27,0.08654,Carbonate
117.4,0.1115,Sandstone
108.4,0.07445,Carbonate
76.84,0.09311,Carbonate
68.69,0.07515,Carbonate
76.1,0.1089,Carbonate
126.3,0.08694,Sandstone
130.7,0.112,Sandstone
79.85,0.1012,Carbonate
152.1,0.08439,Sandstone
95.5,0.08421,Carbonate
68.77,0.09594,Carbonate
109.3,0.08865,Sandstone
116.1,0.1049,Sandstone
96.22,0.09855,Carbonate
78.85,0.1028,Carbonate
85.84,0.09048,Sandstone
70.21,0.1006,Carbonate
67.49,0.08792,Carbonate
54.42,0.09138,Carbonate
64.6,0.09699,Carbonate
109.3,0.09831,Sandstone
82.01,0.06251,Carbonate
81.29,0.08739,Carbonate
182.1,0.1094,Sandstone
142.7,0.1141,Sandstone
